,Name,Father_Name12,DOB12,Place_Of_Birth12,Education12,Profession12,Permanent_Address12,Present_Address12
0,Agnihotri  Shri Rajendra,Shri Balar Ram Agnihotri,1/1/1938,"Vill. Vijaipur, P.S. Moosanagar, 
			Distt. Kanpur Dehat (Uttar Pradesh)",NA,NA,NA,NA
1,Ahire  Shri Dhanaji Sitaram,Shri Sitaram,4/5/1953,"Kudashi Tal-Sakri, Distt. Dhule (Maharashtra)",NA,NA,NA,NA
2,Ahmad  Dr. Shakeel,Late Shri Shakoor Ahmad,2/1/1956,"Bishanpur, Distt. Muzaffarpur (Bihar)",NA,NA,NA,NA
3,Ahmad  Shri Akbar,Shri Islam Ahmad,30/06/1948,Lucknow (Uttar Pradesh),NA,NA,NA,NA
4,Ajmeera  Shri Chandulal,Shri A. Meetu Nayak,8/7/1954,"Jaggannapet, Distt. Warangal 
			(Andhra Pradesh)",NA,NA,NA,NA
5,Ajna  Shri Udai Lal,Shri Bhairu Lal Ajna,5/5/1951,"Kesunda, Distt. Chittorgarh (Rajasthan)",NA,NA,NA,NA
6,Aliwal  Shri Amrik Singh,Sardar Nahar Singh Gill,15/01/1958,"Lohian Khass, Distt. Jalandhar (Punjab)",NA,NA,NA,NA
8,Apang  Shri Omak,Shri Gegong Apang,11/3/1971,"Rumgong, Distt. West Siang (Arunachal Pradesh)",NA,NA,NA,NA
9,Arumugham  Shri S.,Shri T. Sivalingam,16/04/1934,"Kalmandapam, Pondicherry Region (Pondicherry)",NA,NA,NA,NA
10,Awade  Shri Kallappa Baburao,Shri Baburao,5/7/1931,"Ichalkaranji, Distt. Kolhapur 
			(Maharashtra)",NA,NA,NA,NA
11,Ayanur  Shri Manjunath,Shri B.S. Ganeshappa,14/11/1955,"Ayanur, Distt. Shimoga (Karnataka)",NA,NA,NA,NA
12,Bairwa  Shri Dowarka Parshad,Shri Gyan Chand,24/12/1948,"Vill.Jhilai, Niwai, Distt.Tonk (Rajasthan)",NA,NA,NA,NA
13,Bala  Dr. Asim,Late Shri Satish Chandra Bala,30/10/1941,Calcutta (West Bengal),NA,NA,NA,NA
14,Barnala  Shri Surjit Singh,Shri Nar Singh,21/10/1925,"Ateli Begpur, Distt. Mahendergarh
			(Haryana)",NA,NA,NA,NA
15,Bhagat  Shri Indra Nath,Late Shri Baijnath Bhagat,6/6/1946,"Bhakso Harra Toli, Distt. Lohardaga (Bihar)",NA,NA,NA,NA
16,Bhardwaj  Shri Paras Ram,Shri Ram Prasad Bhardwaj,1/10/1948,"Tiwari, Para-Kharod, Distt. Bilaspur 
	                (Madhya Pradesh)",NA,NA,NA,NA
17,Bhargava  Shri Ram Shankar,Shri Ram Dulare Bhargava,10/9/1966,"Chaubepur, Distt. Sitapur (Uttar Pradesh)",NA,NA,NA,NA
18,Bhonsle  Shri Abhaysinh Shahumaharaj,Shri Shahumaharaj Bhonsle,16/05/1944,Dhar (Madhya Pradesh),NA,NA,NA,NA
19,Bhonsle  Smt. Rani Chitralekha,Shri Sharas Chandra Kadam,26/02/1941,Baroda (Gujarat),NA,NA,NA,NA
