Name,Wiki Name,Party,Wiki search,Wiki Output
A. Raja  Shri,A. Raja,Dravida Munnetra Kazhagam,A. Raja Dravida Munnetra Kazhagam,"Andimuthu Raja (born Sathyaseelan; 26 October 1963) is an Indian politician from Tamil Nadu, who serves as Member of Parliament for the Nilgiris constituency and deputy general secretary for the Dravida Munnetra Kazhagam. He was a member of the 15th Lok Sabha representing the Nilgiris constituency of Tamil Nadu and had been elected to house four times since 1996. Raja is an advocate by profession and he did his masters from Government Law College in Tiruchirappalli.
Raja was first elected to Parliament as a member of Lok Sabha in 1996 from the Perambalur constituency and was reelected from the same constituency in 1999 and 2004 elections and from Nilgiris constituency in 2009. He was Minister of State for Rural development from 1996 to 2000, Minister of State, Health and Family Welfare from September 2000 to May 2004 and a cabinet minister for Environment and Forests from May 2004 to May 2007. He became the cabinet minister for Communication and Information Technology from May 2007, following the resignation of Dayanidhi Maran. Raja was investigated in the 2G Spectrum case, along with two other members of the DMK, Dayanidhi Maran and Kanimozhi. All three were acquitted in 2017. Raja was re-elected as Nilgiris MP in the 2019 Lok Sabha elections, and was elected Deputy General Secretary of the DMK in September 2020.

"
Aaroon Rasheed  Shri J.M.,J.M. Aaroon Rasheed,Indian National Congress,J.M. Aaroon Rasheed Indian National Congress,#N/A
Abbaiah  Shri Narayana Swamy,Narayana Swamy Abbaiah,Bharatiya Janata Party,Narayana Swamy Abbaiah Bharatiya Janata Party,"Abbaiah Narayanaswamy is an Indian politician who is the current Minister of State for Social Justice and Empowerment of India in the Second Modi ministry since 7 July 2021. He is also a member of the Lok Sabha, lower house of the Parliament of India from Chitradurga, Karnataka as a member of the Bharatiya Janata Party. It became a controversy when he was denied entry into village of Pemmanahalli Gollarahatti in Pavagada taluk of Tumakuru district in his own constituency as he belongs to Madiga community."
Abbasi  Kazi Jalil,Kazi Jalil Abbasi,Congress (I),Kazi Jalil Abbasi Congress (I),"Kazi Jalil Abbasi (1912-1996) was a freedom fighter and member of the 7th Lok Sabha & 8th Lok Sabha of India. He represented the Domariaganj constituency of Uttar Pradesh and is a member of the Congress (I) political party.

"
Abdul Lateef  Shri,Abdul Lateef,Congress,Abdul Lateef Congress,"Yusef Abdul Lateef (born William Emanuel Huddleston; October 9, 1920 – December 23, 2013) was an American jazz multi-instrumentalist, composer, and prominent figure among the Ahmadiyya Community in America.
Although Lateef's main instruments were the tenor saxophone and flute, he also played oboe and bassoon, both rare in jazz, and non-western instruments such as the bamboo flute, shanai, shofar, xun, arghul and koto. He is known for having been an innovator in the blending of jazz with ""Eastern"" music. Peter Keepnews, in his New York Times obituary of Lateef, wrote that the musician ""played world music before world music had a name"".Lateef's books included two novellas entitled A Night in the Garden of Love and Another Avenue, the short story collections Spheres and Rain Shapes, also his autobiography, The Gentle Giant, written in collaboration with Herb Boyd. Along with his record label YAL Records, Lateef owned Fana Music, a music publishing company. Lateef published his own work through Fana, which includes Yusef Lateef's Flute Book of the Blues and many of his own orchestral compositions.

"
Abdul Rahman  Shri,Abdul Rahman,Dravida Munnetra Kazhagam,Abdul Rahman Dravida Munnetra Kazhagam,"Abdul Rahman bin Faisal Al Saud (Arabic: عبد الرحمن بن فيصل آل سعود ʿAbd ar Raḥman bin Fayṣal Āl Saʿūd; 1850 – June 1928) was the last emir of Nejd, reigning from 1875 to 1876 and from 1889 to 1891. He was the youngest son of Emir Faisal bin Turki bin Abdullah and the father of Abdulaziz, the founder of the Kingdom of Saudi Arabia.

"
Abdul Samad  Shri A.K.A.,A.K.A. Abdul Samad,Congress (I),A.K.A. Abdul Samad Congress (I),"A.K.A. Abdul Samad (Tamil: அப்துல் சமது) (4 October 1926 – 4 November 1999) was a prominent Tamil politician, and an important leader of the Indian Union Muslim League. He was also a journalist, editor, author, educationist and businessmanHe is popularly known in his native states of Tamil Nadu and Kerala by the title ""Siraj-ul-Millat"" (Light of the Nation).

"
Abdul Shafee  Shri,Abdul Shafee,Congress,Abdul Shafee Congress,"Abdul Shafee  (23 November 1925 – 26 April 2004) also known as ""Shafee MP"" was an Senior Awarded Indian Politician of Indian National Congress and Member of Parliament of Loksabha . Shafee was an MP Member of the 5th Lok Sabha and represented the Chandrapur (formally known as Chanda until 5th Lok Sabha) constituency of Maharashtra. He was also a MLC Member of Legislative Council of Maharashtra Vidhan Sabha , First Zilla Parishad President of Chandrapur, First Sarpanch of Rajoli, Famous Social Activist & Head of BSS (Bharat Sevak Samaj) Before Entering into National Politics.

"
Abdullabhai  Mulla Taherali Mulla,Mulla Taherali Mulla Abdullabhai,Congress,Mulla Taherali Mulla Abdullabhai Congress,"Mulla Abdullabhai Taherali also known as Mulla Taherali Mulla Abdullabhai
(born 9 December 1918, date of death unknown) was an Indian politician and the Member of Parliament (MP) of the first Lok Sabha in 1952 elected from Chanda constituency of Madhya Pradesh."
Abdullah  Begum Akbar Jahan,Begum Akbar Jahan Abdullah,National Conference,Begum Akbar Jahan Abdullah National Conference,"Akbar Jehan Abdullah (1916 – 11 July 2000) was an Indian Kashmiri politician. The wife of Abdullah Sheikh, three-time Chief Minister of Jammu and Kashmir, she twice served as a Member of India Parliament.Akbar Jehan was the daughter of Michael Harry Nedou, the eldest son of the European owner of an Indian hotel chain that included Nedous Hotel in Srinagar, and his Kashmiri wife Mirjan. Nedou was himself the proprietor of a hotel at the tourist resort of Gulmarg. She married Abdullah in 1933."
